village_id,candidate_minigrids,existing_minigrids,facilities,grid_extension,existing_grid,distance_to_grid,mean_ndvi,mean_wind_speed,mean_pvout_solar_radiation,total_population,mean_biomass,building_count,permanent_building_count,educational_facilities,health_facilities,social_facilities,services,primary_roads,secondary_roads,tertiary_roads,unclassified_roads,percentage_crop_land,percentage_built_area,contains_protected_area,protected_area_name,electrification_strategy
5500895,0,0,0,0,0,23699.534829700286,0.0,0.0,0.0,42.25049591064453,1.0137094350961537,7,0,0,0,0,0,0,0,0,0,20.356666666666666,1.14,False,,Solar home system
5500896,0,0,1,0,0,27033.61858417848,0.0,0.0,1563.1445707070707,27.555091857910156,5.0893312021516826,17,3,0,1,0,0,0,0,0,1,3.3875,0.0266666666666666,True,Agoro - Agu Forest Reserve,Solar home system
5500897,0,0,0,0,0,26096.507733303617,0.0,0.0,1561.5652669270833,258.6739501953125,2.6668873587570623,99,5,0,0,0,0,0,0,0,0,16.7125,3.16,True,Agoro - Agu Forest Reserve,Solar home system
5500898,0,0,0,0,0,25054.2419323928,0.30051371455192566,0.8950734837154203,1587.8150390625,245.89154052734375,2.58102903068555,101,4,0,0,0,0,0,0,0,0,24.385,2.506666666666667,True,Agoro - Agu Forest Reserve,Solar home system
5500899,0,0,0,0,0,23706.8461435625,0.0,0.0,1618.240478515625,0.0,2.3808365495862938,0,0,0,0,0,0,0,0,0,0,20.2925,0.015,True,Agoro - Agu Forest Reserve,Solar home system
5500900,0,0,0,0,0,23687.45669849849,0.0,0.0,1609.1090087890625,1103.347900390625,1.49800621233353,483,13,0,0,0,0,0,0,0,1,19.065,15.472499999999998,False,,Solar home system
5500901,0,0,0,0,0,22380.114999955495,0.0,0.0,1612.5791015625,559.133056640625,2.0394956759077525,172,11,0,0,0,0,0,0,0,0,9.4825,12.606666666666667,False,,Solar home system
5500902,0,0,0,0,0,22846.276781613164,0.0,0.0,0.0,314.2654113769531,1.4535372858080409,100,8,0,0,0,0,0,0,0,0,15.1225,6.7,False,,Solar home system
5500903,0,0,1,0,0,22051.85610354121,0.0,0.0,0.0,895.9149169921875,2.1810103687545093,277,44,1,0,0,0,0,0,0,0,11.0425,20.297500000000003,False,,Solar home system
5500904,0,0,0,0,0,20811.287743588535,0.0,0.0,1629.654296875,234.9747314453125,2.198630185264928,80,12,0,0,0,0,0,0,0,0,16.947499999999998,2.1125,False,,Solar home system
5500905,0,1,1,0,0,18349.032036744054,0.0,0.0,1633.717529296875,418.944580078125,1.9692822302468471,137,13,1,0,0,0,0,0,0,1,19.2825,3.12,False,,Existing minigrid
